Participante,VLT,Perfil,ID_Maze,tipo_De_Frase,Resposta,RT_Alvo,Ordem
N11,-,Nativo,16,Non.Temp.Red.IV,0,0,-
N11,-,Nativo,17,Temp.Red.PV,1,106,-
N11,-,Nativo,18,Temp.Red.PV,2,1219,-
N11,-,Nativo,19,Temp.Red.PV,1,996,-
N11,-,Nativo,20,Temp.Red.PV,1,1024,-
N11,-,Nativo,21,Temp.Red.PV,1,1785,-
N11,-,Nativo,22,Temp.Red.PV,0,0,-
N11,-,Nativo,23,Temp.Red.PV,1,975,-
N11,-,Nativo,24,Temp.Red.PV,1,847,-
N12,-,Nativo,1,Temp.Red.IV,2,1355,-
N12,-,Nativo,2,Temp.Red.IV,1,1306,-
N12,-,Nativo,3,Temp.Red.IV,0,0,-
N12,-,Nativo,4,Temp.Red.IV,2,1661,-
N12,-,Nativo,5,Temp.Red.IV,1,985,-
N12,-,Nativo,6,Temp.Red.IV,1,1669,-
N12,-,Nativo,7,Temp.Red.IV,1,873,-
N12,-,Nativo,8,Temp.Red.IV,2,985,-
N12,-,Nativo,9,Non.Temp.Red.IV,2,1456,-
N12,-,Nativo,10,Non.Temp.Red.IV,1,2094,-
N12,-,Nativo,11,Non.Temp.Red.IV,2,1624,-
N12,-,Nativo,12,Non.Temp.Red.IV,1,1087,-
N12,-,Nativo,13,Non.Temp.Red.IV,1,833,-
N12,-,Nativo,14,Non.Temp.Red.IV,1,984,-
N12,-,Nativo,15,Non.Temp.Red.IV,2,1236,-
N12,-,Nativo,16,Non.Temp.Red.IV,2,1548,-
N12,-,Nativo,17,Temp.Red.PV,2,1383,-
N12,-,Nativo,18,Temp.Red.PV,2,1349,-
N12,-,Nativo,19,Temp.Red.PV,2,1338,-
N12,-,Nativo,20,Temp.Red.PV,2,1289,-
N12,-,Nativo,21,Temp.Red.PV,2,1019,-
N12,-,Nativo,22,Temp.Red.PV,1,1397,-
N12,-,Nativo,23,Temp.Red.PV,1,1379,-
N12,-,Nativo,24,Temp.Red.PV,2,1557,-
N13,-,Nativo,1,Temp.Red.IV,0,0,-
N13,-,Nativo,2,Temp.Red.IV,1,1265,-
N13,-,Nativo,3,Temp.Red.IV,1,699,-
N13,-,Nativo,4,Temp.Red.IV,2,2025,-
N13,-,Nativo,5,Temp.Red.IV,1,732,-
N13,-,Nativo,6,Temp.Red.IV,2,2756,-
N13,-,Nativo,7,Temp.Red.IV,2,793,-
N13,-,Nativo,8,Temp.Red.IV,1,674,-
N13,-,Nativo,9,Non.Temp.Red.IV,1,755,-
N13,-,Nativo,10,Non.Temp.Red.IV,2,1295,-
N13,-,Nativo,11,Non.Temp.Red.IV,1,691,-
N13,-,Nativo,12,Non.Temp.Red.IV,1,980,-
N13,-,Nativo,13,Non.Temp.Red.IV,2,817,-
N13,-,Nativo,14,Non.Temp.Red.IV,1,731,-
N13,-,Nativo,15,Non.Temp.Red.IV,2,800,-
N13,-,Nativo,16,Non.Temp.Red.IV,1,809,-
N13,-,Nativo,17,Temp.Red.PV,0,0,-
N13,-,Nativo,18,Temp.Red.PV,2,860,-
N13,-,Nativo,19,Temp.Red.PV,1,1694,-
N13,-,Nativo,20,Temp.Red.PV,1,2006,-
N13,-,Nativo,21,Temp.Red.PV,2,1406,-
N13,-,Nativo,22,Temp.Red.PV,2,1037,-
N13,-,Nativo,23,Temp.Red.PV,2,899,-
N13,-,Nativo,24,Temp.Red.PV,2,1092,-
N14,-,Nativo,1,Temp.Red.IV,1,2120,-
N14,-,Nativo,2,Temp.Red.IV,1,854,-
N14,-,Nativo,3,Temp.Red.IV,1,1214,-
N14,-,Nativo,4,Temp.Red.IV,2,925,-
N14,-,Nativo,5,Temp.Red.IV,1,1397,-
N14,-,Nativo,6,Temp.Red.IV,1,1174,-
N14,-,Nativo,7,Temp.Red.IV,1,1162,-
N14,-,Nativo,8,Temp.Red.IV,2,1099,-
N14,-,Nativo,9,Non.Temp.Red.IV,2,921,-
N14,-,Nativo,10,Non.Temp.Red.IV,2,1016,-
N14,-,Nativo,11,Non.Temp.Red.IV,2,1221,-
N14,-,Nativo,12,Non.Temp.Red.IV,1,1025,-
N14,-,Nativo,13,Non.Temp.Red.IV,2,2515,-
N14,-,Nativo,14,Non.Temp.Red.IV,1,897,-
N14,-,Nativo,15,Non.Temp.Red.IV,1,1363,-
N14,-,Nativo,16,Non.Temp.Red.IV,1,1242,-
N14,-,Nativo,17,Temp.Red.PV,2,1202,-
N14,-,Nativo,18,Temp.Red.PV,1,1040,-
N14,-,Nativo,19,Temp.Red.PV,2,1125,-
N14,-,Nativo,20,Temp.Red.PV,1,966,-
N14,-,Nativo,21,Temp.Red.PV,2,1491,-
N14,-,Nativo,22,Temp.Red.PV,1,1079,-
N14,-,Nativo,23,Temp.Red.PV,1,1443,-
N14,-,Nativo,24,Temp.Red.PV,1,1501,-
