Participante,VLT,Perfil,Frase,Condicao,Escolha,RT_Alvo
C1104,0,Bilingue,5,ThirdPSing,2,
C1104,0,Bilingue,6,ThirdPSing,2,
C1104,0,Bilingue,7,ThirdPSing,2,
C1104,0,Bilingue,8,ThirdPSing,2,
C1105,0,Bilingue,1,ThirdPSing,1,1161
C1105,0,Bilingue,2,ThirdPSing,2,
C1105,0,Bilingue,3,ThirdPSing,1,973
C1105,0,Bilingue,4,ThirdPSing,1,906
C1105,0,Bilingue,5,ThirdPSing,2,
C1105,0,Bilingue,6,ThirdPSing,1,1155
C1105,0,Bilingue,7,ThirdPSing,1,1353
C1105,0,Bilingue,8,ThirdPSing,1,1622
C1106,0,Bilingue,1,ThirdPSing,2,
C1106,0,Bilingue,2,ThirdPSing,2,
C1106,0,Bilingue,3,ThirdPSing,1,3194
C1106,0,Bilingue,4,ThirdPSing,2,
C1106,0,Bilingue,5,ThirdPSing,2,
C1106,0,Bilingue,6,ThirdPSing,1,2231
C1106,0,Bilingue,7,ThirdPSing,2,
C1106,0,Bilingue,8,ThirdPSing,1,1837
C1107,0,Bilingue,1,ThirdPSing,2,
C1107,0,Bilingue,2,ThirdPSing,1,1940
C1107,0,Bilingue,3,ThirdPSing,2,
C1107,0,Bilingue,4,ThirdPSing,2,
C1107,0,Bilingue,5,ThirdPSing,2,
C1107,0,Bilingue,6,ThirdPSing,2,
C1107,0,Bilingue,7,ThirdPSing,1,2714
C1107,0,Bilingue,8,ThirdPSing,2,
C1108,0,Bilingue,1,ThirdPSing,1,1626
C1108,0,Bilingue,2,ThirdPSing,2,
C1108,0,Bilingue,3,ThirdPSing,2,
C1108,0,Bilingue,4,ThirdPSing,2,
C1108,0,Bilingue,5,ThirdPSing,1,1936
C1108,0,Bilingue,6,ThirdPSing,2,
C1108,0,Bilingue,7,ThirdPSing,2,
C1108,0,Bilingue,8,ThirdPSing,1,1429
C1109,0,Bilingue,1,ThirdPSing,2,
C1109,0,Bilingue,2,ThirdPSing,2,
C1109,0,Bilingue,3,ThirdPSing,2,
C1109,0,Bilingue,4,ThirdPSing,2,
C1109,0,Bilingue,5,ThirdPSing,2,
C1109,0,Bilingue,6,ThirdPSing,2,
C1109,0,Bilingue,7,ThirdPSing,2,
C1109,0,Bilingue,8,ThirdPSing,2,
C1110,0,Bilingue,1,ThirdPSing,1,1224
C1110,0,Bilingue,2,ThirdPSing,1,1903
C1110,0,Bilingue,3,ThirdPSing,1,1930
C1110,0,Bilingue,4,ThirdPSing,1,1514
C1110,0,Bilingue,5,ThirdPSing,2,
C1110,0,Bilingue,6,ThirdPSing,1,1100
C1110,0,Bilingue,7,ThirdPSing,1,2325
C1110,0,Bilingue,8,ThirdPSing,1,1873
C1111,0,Bilingue,1,ThirdPSing,2,
C1111,0,Bilingue,2,ThirdPSing,1,1673
C1111,0,Bilingue,3,ThirdPSing,2,
C1111,0,Bilingue,4,ThirdPSing,1,1849
C1111,0,Bilingue,5,ThirdPSing,1,1719
C1111,0,Bilingue,6,ThirdPSing,2,
C1111,0,Bilingue,7,ThirdPSing,2,
C1111,0,Bilingue,8,ThirdPSing,2,
C1112,0,Bilingue,1,ThirdPSing,2,
C1112,0,Bilingue,2,ThirdPSing,2,
C1112,0,Bilingue,3,ThirdPSing,1,1070
C1112,0,Bilingue,4,ThirdPSing,2,
C1112,0,Bilingue,5,ThirdPSing,2,
C1112,0,Bilingue,6,ThirdPSing,2,
C1112,0,Bilingue,7,ThirdPSing,1,2334
C1112,0,Bilingue,8,ThirdPSing,2,
C1113,0,Bilingue,1,ThirdPSing,2,
C1113,0,Bilingue,2,ThirdPSing,1,2220
C1113,0,Bilingue,3,ThirdPSing,2,
C1113,0,Bilingue,4,ThirdPSing,2,
C1113,0,Bilingue,5,ThirdPSing,2,
C1113,0,Bilingue,6,ThirdPSing,1,2843
C1113,0,Bilingue,7,ThirdPSing,1,4227
C1113,0,Bilingue,8,ThirdPSing,2,
I3301,0,Bilingue,1,ThirdPSing,1,1600
I3301,0,Bilingue,2,ThirdPSing,1,3195
I3301,0,Bilingue,3,ThirdPSing,2,
I3301,0,Bilingue,4,ThirdPSing,2,
I3301,0,Bilingue,5,ThirdPSing,1,1651
I3301,0,Bilingue,6,ThirdPSing,1,4677
I3301,0,Bilingue,7,ThirdPSing,1,1429
I3301,0,Bilingue,8,ThirdPSing,1,1717
I3302,0,Bilingue,1,ThirdPSing,1,3888
I3302,0,Bilingue,2,ThirdPSing,2,
I3302,0,Bilingue,3,ThirdPSing,1,4580
I3302,0,Bilingue,4,ThirdPSing,1,2207
I3302,0,Bilingue,5,ThirdPSing,2,
I3302,0,Bilingue,6,ThirdPSing,1,4982
I3302,0,Bilingue,7,ThirdPSing,1,5600
I3302,0,Bilingue,8,ThirdPSing,2,
I3303,0,Bilingue,1,ThirdPSing,2,
I3303,0,Bilingue,2,ThirdPSing,2,
I3303,0,Bilingue,3,ThirdPSing,1,2678
I3303,0,Bilingue,4,ThirdPSing,2,
I3303,0,Bilingue,5,ThirdPSing,2,
